;; -*- coding: utf-8-mcs-er -*-
HZK07-A452	&HZK07-A452;	⿰石&M-30184;
HZK07-A453	&HZK07-A453;	⿰石&GT-21313;
HZK07-C940	&HZK07-C940;	⿰&B-A5DD;苴
HZK07-C942	&HZK07-C942;	⿰&B-A5DD;苗
HZK07-C943	&HZK07-C943;	⿰&B-A5DD;英
HZK07-A454	&HZK07-A454;	⿰石&B-AFEB;
HZK07-A456	&HZK07-A456;	⿰石&B-B05C;
HZK07-A458	&HZK07-A458;	⿰石&M-28635;
HZK07-A459	&HZK07-A459;	⿰石烏
HZK07-A45A	&HZK07-A45A;	⿰石&GT-29751;
HZK07-A472	&HZK07-A472;	⿰石留
HZK07-A474	&HZK07-A474;	⿰石&GT-53074;
HZK07-A475	&HZK07-A475;	石&M-13450;&B-A6D5;
HZK07-A476	&HZK07-A476;	石&GT-45972;&GT-01892;
HZK07-A477	&HZK07-A477;	⿰石&B-AFE1;
HZK07-A478	&HZK07-A478;	⿰石&B-D6C3;
HZK07-A47C	&HZK07-A47C;	⿰石&M-38849;
HZK07-A47D	&HZK07-A47D;	⿱&CDP-8BE3;石
HZK07-C945	&HZK07-C945;	&B-A5DD;丙攵
HZK07-C946	&HZK07-C946;	&B-A5DD;支只
HZK07-C947	&HZK07-C947;	⿰&B-A5DD;咸
HZK07-C948	&HZK07-C948;	&B-A5DD;不生
HZK07-C949	&HZK07-C949;	⿰&B-A5DD;&B-ADB6;
HZK07-C94A	&HZK07-C94A;	⿰&B-A5DD;&B-D052;
HZK07-C94B	&HZK07-C94B;	⿰&B-A5DD;皆
HZK07-A4B5	&HZK07-A4B5;	石&B-A5DE;且
HZK07-A4B6	&HZK07-A4B6;	⿰石&M-11743;
HZK07-A4B9	&HZK07-A4B9;	⿰石&M-07709;
HZK07-A4BB	&HZK07-A4BB;	石&CDP-8DF6;厶&CDP-8B4F;
HZK07-A4BC	&HZK07-A4BC;	⿰石剝
HZK07-A4D4	&HZK07-A4D4;	⿰石教
HZK07-A4D7	&HZK07-A4D7;	⿰石&B-B2E1;
HZK07-A4D9	&HZK07-A4D9;	⿰石莫
